#{"t_start": 1778599250.2694674, "env_id": "LunarLander-v3"}
r,l,t
-351.158977,123,0.04678
-131.249228,91,0.051323
-207.867674,68,0.054828
-28.939202,100,0.060347
-165.300501,102,0.068596
-402.625129,96,0.073197
-157.741211,85,0.078249
-229.135721,81,0.083265
-119.822411,103,0.09205
-428.380855,88,0.096231
-278.337247,92,0.14371
-163.408793,98,0.196918
-264.038447,112,0.261564
-322.23187,132,0.333513
-137.835338,115,0.402365
-395.854028,92,0.454687
-194.581079,106,0.531817
-64.749562,72,0.573111
-251.261948,95,0.628054
-350.718341,109,0.693408
-85.560065,102,0.759395
-92.158654,70,0.797815
-158.037727,87,0.848766
-89.89041,89,0.900828
-216.840037,98,0.963936
-103.819928,89,1.013793
-203.380621,75,1.059891
-122.177139,132,1.134343
-139.850782,82,1.184798
-93.091079,82,1.232075
-61.171058,66,1.271958
-265.807275,93,1.332856
-344.569316,114,1.402713
-300.631858,105,1.466829
-336.482496,94,1.525501
-82.561822,87,1.577935
-205.917608,127,1.654173
-102.353932,91,1.70761
-326.942688,149,1.792796
-98.219718,117,1.864513
-135.876538,129,1.943119
-194.232788,85,1.993715
-219.206793,74,2.037315
-261.795658,110,2.106665
-107.169526,57,2.140746
-184.087827,63,2.17802
-89.436605,87,2.232975
-133.060185,61,2.268578
-339.989858,87,2.321572
-21.305423,76,2.366911
-18.086212,76,2.412832
-99.107889,63,2.449242
-162.366867,119,2.519524
-234.361678,120,2.591683
-112.577336,81,2.649052
-206.665599,135,2.725615
-109.629322,112,2.802539
-284.033298,137,2.886309
-121.913501,103,2.948406
-37.975897,90,3.007894
-122.735077,102,3.068305
-68.078172,69,3.111116
-75.993618,110,3.175814
-467.475078,128,3.253821
-270.775252,95,3.31465
-85.969818,80,3.363503
-90.942571,99,3.427588
-137.214831,82,3.479756
-41.668686,75,3.527345
-134.56933,85,3.579385
-150.723202,66,3.62023
-178.607171,93,3.680772
-248.86764,102,3.750082
-192.479273,87,3.802239
-61.62462,72,3.846724
-66.913243,101,3.906687
-75.698413,99,3.972111
-143.662801,109,4.036459
-119.546613,122,4.112909
-135.888235,69,4.154193
-67.446626,75,4.205863
-214.334635,80,4.252309
-144.778741,128,4.331409
-142.520951,139,4.418552
-134.966364,124,4.532719
-120.374148,63,4.568741
-108.24692,94,4.629801
-121.24123,91,4.683978
-178.840182,93,4.74555
-155.955513,103,4.815935
-138.381296,102,4.87815
-179.202328,112,4.956825
-112.936355,163,5.068258
-69.045152,69,5.1115
-349.715932,127,5.195006
-125.285627,104,5.26087
-110.498528,87,5.317552
-87.933705,67,5.359929
-331.220484,107,5.430483
-86.15472,87,5.483197
-94.478894,85,5.538089
-95.105063,67,5.587999
-142.577404,104,5.654395
-365.223442,87,5.713269
-59.156943,66,10.513954
-113.498495,83,10.570505
-126.592142,130,10.658058
-49.403235,85,10.712474
-77.645492,87,10.771429
-75.290352,123,10.86029
-121.150944,136,10.952504
-111.731266,91,11.020304
-78.152977,146,11.127705
-137.028298,90,11.181789
-109.254936,103,11.246371
-208.735781,108,11.309603
-101.206765,83,11.365248
-94.739654,111,11.436743
-127.496627,83,11.49358
-123.534212,61,11.535085
-84.601471,64,11.577504
-146.75494,108,11.656366
30.497369,154,11.768648
-153.471128,127,11.850014
-43.59639,67,11.899307
-234.69859,103,11.971643
-97.905834,105,12.039705
-97.200807,81,12.08825
-174.311484,69,12.137095
-201.671788,113,12.210322
-62.787531,138,12.298597
-89.527186,91,12.355971
-294.826021,130,12.447518
-61.86163,70,12.492469
-110.736966,116,12.575599
-103.329093,114,12.646039
-186.79101,116,12.731198
-44.751836,118,12.809661
-578.20449,105,12.879823
-75.8192,137,12.987831
-92.314671,81,13.048464
-105.964178,114,13.124994
-85.199124,116,13.210836
-260.17328,121,13.308781
-66.921264,78,13.36715
-58.573336,100,13.428989
-67.870413,102,13.497504
-150.342189,67,13.547709
-89.348994,88,13.625501
-110.390137,89,13.679787
-70.207773,66,13.719919
-96.584381,77,13.769631
-55.371481,125,13.858217
-110.788413,158,13.974428
-222.272135,92,14.034409
-81.440245,89,14.096412
-82.21759,77,14.155993
-65.027494,132,14.257683
-94.160956,74,14.303607
-110.098225,111,14.375911
-108.535189,61,14.417803
-134.861734,116,14.497085
-49.997959,82,14.551929
-165.209666,115,14.625489
-117.064172,83,14.678573
-27.242884,80,14.732665
-33.74516,108,14.807712
-72.434966,88,14.859865
-96.275604,126,14.941991
-129.417361,89,15.002861
-80.401798,69,15.05025
-84.509079,125,15.136972
-145.390065,104,15.211536
-107.30358,84,15.262635
-57.083708,84,15.322989
-180.906526,123,15.411266
-99.389349,107,15.494351
-64.004983,69,15.537998
-73.208094,60,15.577755
-54.884166,64,15.628153
-103.763725,63,15.672628
-64.960969,137,15.761178
-115.151737,109,15.836687
-100.756619,130,15.934936
-75.162562,109,16.007956
-94.836078,63,16.053732
-116.525654,98,16.113222
-76.249387,101,16.174822
-21.03319,136,16.268456
-130.652866,103,16.337275
-68.337142,112,16.421706
-34.271585,100,16.499011
-165.763978,121,16.595058
-94.301031,74,16.647887
-127.580462,115,16.718329
-148.94495,136,16.81097
-92.755248,96,16.878344
-115.280637,151,16.985208
-76.431567,87,17.044521
-72.25676,119,17.126683
-64.460048,65,17.174351
-91.839294,89,17.235413
-101.703786,95,17.297313
-43.464855,80,17.347265
-112.473333,112,22.706725
-86.11488,90,22.775963
-155.128828,104,22.847195
-46.322702,88,22.906335
-139.544964,72,22.956432
-55.229851,125,23.045269
-101.826841,90,23.116149
-77.806842,101,23.188558
-92.645617,118,23.272713
-139.683095,97,23.33887
-81.97146,111,23.410322
-159.886833,103,23.47985
-68.157718,152,23.587845
-90.372261,132,23.682794
-85.84426,139,23.774693
-38.652566,138,23.881893
-97.028266,99,23.946944
-233.116318,100,24.011285
-76.044648,134,24.118405
-92.233276,95,24.178695
