#{"t_start": 1778597934.5753849, "env_id": "LunarLander-v3"}
r,l,t
-113.287864,119,1.523737
-88.646012,68,1.601734
-137.700966,115,1.72942
-171.862107,108,1.852587
-65.225089,75,1.93452
-119.705733,93,2.036654
-117.025322,112,2.156696
-83.872305,87,2.250004
-110.858553,98,2.352019
-39.187114,75,2.429019
-174.551384,103,2.534604
-137.203075,63,2.599846
-135.873625,117,2.722392
-363.43993,105,2.832928
-237.295301,119,2.954696
-122.131889,82,3.038758
-125.935076,106,3.158574
-145.573231,80,3.238455
-392.400945,89,3.329567
-211.161074,113,3.444522
-118.142738,62,3.506565
-255.260569,102,4.674914
-117.915131,65,4.739459
-246.489565,134,4.875422
-80.158799,75,4.954507
-147.246253,130,5.089
-108.275237,89,5.184751
-177.549667,117,5.30697
-205.067009,122,5.429484
-189.149047,85,5.516683
-173.61381,107,5.6237
-89.550271,115,5.742076
-317.63581,92,5.834377
-91.067052,97,5.938442
-268.040441,121,6.066989
-143.779936,100,6.167446
-129.728353,100,6.27143
-209.367242,87,6.363698
-332.673501,87,6.452324
-100.522479,131,6.588726
-102.296678,127,6.720735
-241.986536,121,7.799703
-61.586831,80,7.888435
-142.834579,99,8.003677
-248.810761,83,8.0999
-93.655645,73,8.18271
-149.318434,140,8.346671
-250.388965,102,8.464902
-117.782361,101,8.596039
-360.194403,150,8.766547
-275.166095,95,8.877771
-154.644234,115,9.016475
-119.834347,123,9.167813
-118.452938,105,9.288616
-174.397981,123,9.434607
-118.35321,132,9.606675
-80.325098,114,9.74693
-240.994464,78,9.838552
-75.84122,85,9.955037
-195.524948,82,10.068722
-165.855456,106,11.301927
-350.908404,107,11.434415
-399.531629,136,11.614718
-16.447813,90,11.728973
-17.265181,99,11.855377
-79.701195,146,12.047361
-87.079509,102,12.17382
-69.670664,75,12.26671
-144.166076,137,12.434407
-91.037546,71,12.536879
-307.044503,108,12.68232
-26.346081,77,12.778039
-156.733821,111,12.91452
-377.466431,94,13.046437
-393.945622,131,13.22368
-32.0485,76,13.323733
-116.329901,85,13.438768
-113.894354,82,13.565877
-93.473732,78,13.669609
-158.963253,96,13.79654
-253.447407,92,13.921579
-121.493102,117,15.197552
-117.346356,70,15.284473
-70.240936,150,15.473652
-179.474047,97,15.605085
-223.855073,81,15.706901
-77.213034,79,15.806874
-272.995314,127,15.962837
-159.740994,114,16.114335
-119.028709,82,16.216905
-45.077769,149,16.399684
-168.956053,99,16.546668
-183.853705,127,16.718525
-73.101488,68,16.816478
-71.548727,122,16.983086
-60.596968,75,17.095712
-78.082854,120,17.256566
-116.834138,72,17.353841
-58.220614,133,19.123485
-5.545517,108,19.279229
-18.193987,90,20.546421
-24.63688,85,20.650036
-116.140761,106,20.782775
-25.580629,74,20.873833
-85.56381,130,21.04423
-93.59414,77,21.144942
-126.428894,96,21.265774
-108.613814,113,21.406817
-79.108279,108,21.553677
-58.237048,73,21.646665
-103.389334,125,21.810058
-383.192645,112,21.959579
-6.121708,93,22.088619
-90.107519,78,22.210293
-52.969613,152,22.412584
-216.280468,126,22.592183
-132.772454,106,22.734776
-345.281497,87,22.85284
-98.392314,117,23.02141
-56.740611,89,23.151875
-150.015589,115,24.409721
-154.354144,143,24.60186
-98.145331,64,24.683106
-264.340126,166,24.887819
-41.552197,89,25.001868
-64.407614,109,25.14269
-119.250692,140,25.321437
-111.966569,102,25.449766
-87.642599,67,25.54454
-138.558078,107,25.679202
-236.221097,118,25.828573
-56.456532,98,25.951839
-110.648377,145,26.159004
-110.075554,109,26.304419
-78.202473,80,26.413658
-139.292175,97,26.553864
-6.83117,82,26.665619
-58.419236,76,26.773904
-71.095323,97,26.909499
-145.213413,118,27.084707
-105.247844,84,28.379324
-59.573511,98,28.516466
-97.533935,160,28.725579
-101.213616,93,28.846448
-175.971193,107,28.990507
-145.055657,104,29.131971
-75.233759,99,29.260429
-76.484629,77,29.359319
-101.434367,101,29.490717
-77.439304,71,29.588703
-191.946286,107,29.725655
-33.971694,85,29.832647
-210.595285,122,29.995487
-85.780011,80,30.11026
-202.556279,136,30.296463
-150.738823,129,30.473927
-64.01856,88,30.610388
-114.37554,83,30.725857
-86.92781,105,30.875511
-313.312337,109,31.046979
-20.810098,146,32.413776
-28.40002,135,32.598454
-301.41262,97,32.720983
-30.991328,94,32.836311
-78.134995,133,33.006821
-119.551095,120,33.163558
-31.002183,94,33.28455
-148.589964,102,33.409336
-81.447855,133,33.58761
-101.961338,179,33.812722
-102.725819,87,33.92157
-41.349423,104,34.069808
-150.264824,131,34.245596
-43.77913,117,34.401909
-31.976497,93,34.544152
-243.165281,164,34.76837
-39.931355,84,34.884675
-232.162529,212,36.254355
-9.106848,155,36.446605
-54.643344,101,36.58458
-119.258443,175,36.801916
-100.485958,122,36.95619
-133.125462,102,37.09648
-62.321838,116,37.246658
-0.895173,140,37.428802
-3.696214,107,37.603581
-83.75158,158,37.818391
-24.465225,192,38.091903
-53.730109,101,42.588683
-7.037835,101,42.738733
-13.955701,148,42.96261
-95.012707,104,43.129912
-12.67763,104,44.378571
-296.15973,195,44.584847
-194.203683,239,44.833115
-141.895069,105,44.940814
-51.389157,157,45.106894
-26.692788,197,45.313632
-95.817555,121,45.436672
-10.482781,191,45.634663
-36.941573,138,45.778621
-98.910396,153,45.934582
-63.780554,191,46.136592
-15.286776,144,46.283135
-71.314095,163,46.448735
-281.716413,230,47.632687
-41.347149,110,47.754362
-188.785804,205,47.998809
-48.783541,1000,49.229084
-11.658887,175,49.449994
13.678925,157,49.663576
68.470611,1000,52.0564
-133.632427,176,52.29061
2.465037,170,52.518526
58.268596,1000,55.053976
32.477046,248,55.368602
40.03187,243,55.682822
35.646153,155,55.873805
28.372409,1000,57.236445
62.43042,182,57.496405
20.224002,185,58.903904
-164.24257,264,59.23446
-318.800119,362,59.692651
-193.780051,190,59.934756
-271.339262,220,60.225711
-294.992319,217,60.513166
-38.552619,216,62.999661
53.981188,1000,65.726003
5.230515,181,65.968645
-46.826058,291,66.365579
24.346645,265,66.738671
-31.165435,152,66.953887
-155.632796,176,67.221522
-131.010926,281,67.636507
27.096734,1000,70.196394
75.292597,1000,71.582812
-269.778771,235,71.916267
-77.429517,274,73.514254
-158.899784,223,73.806914
55.495969,1000,75.156776
-156.270278,202,75.450107
-68.16163,295,75.898148
-95.188418,257,77.432095
4.874014,344,77.866401
-69.925359,227,78.16463
-5.119482,206,78.42071
-17.160593,294,78.799722
43.228433,1000,81.359319
100.920286,1000,86.190797
-131.849307,249,86.563539
-60.237181,244,86.912184
-57.916648,288,87.334624
-137.133537,225,88.797251
-82.618358,320,89.213615
-199.108996,253,89.548431
95.019407,1000,90.904779
39.348662,225,91.238694
39.239654,275,92.782913
-154.381017,188,93.029736
-64.596941,447,93.612641
-96.782162,418,94.148663
-160.083634,368,94.638384
-60.288318,357,95.144819
-90.862693,307,96.734439
-91.653108,491,97.362451
-312.249178,337,97.794343
-290.016549,603,98.638616
43.222707,1000,101.166878
-143.26537,417,101.719882
-176.450065,796,102.809615
-3.515164,1000,105.336669
-276.410695,639,112.116848
-101.177402,407,112.765521
-3.267439,1000,115.380646
70.460413,1000,116.771587
-158.079941,395,118.566717
-14.833149,324,118.966127
-66.211005,304,119.359414
-64.312502,593,120.121571
34.660021,1000,122.756571
124.643888,1000,124.120647
124.525322,1000,126.770603
-150.113724,613,127.550376
120.741068,1000,128.935362
-156.91402,830,138.851229
55.787702,1000,139.871815
41.57585,1000,141.914708
6.153186,1000,143.126573
163.001025,587,145.05291
76.766849,1000,146.402844
-75.880313,563,147.202133
99.203295,1000,149.806997
129.581788,812,150.962472
-80.751673,544,151.77176
79.238517,1000,154.369847
-45.216269,508,155.082402
117.06623,1000,165.462048
91.526056,1000,167.029499
-70.457102,721,169.384643
-24.362716,508,170.099871
-2.324114,1000,171.512034
38.109799,1000,174.178829
-76.391205,554,174.919661
27.506869,1000,177.698515
-87.155137,451,178.299002
102.961733,1000,179.688591
-5.904261,1000,182.278671
164.335789,585,183.066515
76.41049,1000,184.503823
-181.920553,801,191.659261
-65.258099,326,192.160284
-49.550877,426,192.81802
180.394401,868,195.2718
-109.377307,351,195.746907
-99.420086,381,196.263598
-41.63258,1000,198.960018
-55.766658,451,199.579016
40.520852,1000,200.975896
-91.619892,317,201.455766
84.930733,1000,204.132085
60.928373,1000,205.529737
35.670515,1000,208.063676
5.668367,1000,209.384443
159.086864,714,218.759992
-142.478429,570,219.506981
-80.759287,487,220.152285
-52.561015,376,220.678973
-140.4441,644,222.708689
-130.296646,693,223.603853
126.399669,721,224.595046
75.75149,1000,227.103838
-186.583663,798,228.334863
48.013963,1000,230.928766
66.476469,1000,232.103365
-117.054522,542,233.691501
102.75543,736,234.473697
-125.486911,507,235.021494
65.556349,1000,244.468378
94.003718,1000,245.934352
-116.719732,513,246.674259
41.930244,1000,249.51258
114.146022,735,250.569834
-69.931284,228,250.89646
-60.749691,276,251.300192
114.150664,710,253.706414
-82.628388,236,254.056612
145.120583,593,254.93425
-77.464798,465,255.603807
-139.242228,532,257.774647
-62.79503,386,258.349963
-65.595467,596,259.260341
-114.602395,548,260.08473
-112.415485,434,262.199832
186.325972,564,263.067233
-73.085354,498,263.81176
-164.584978,581,269.177401
-69.760368,296,270.964689
187.906449,671,271.938648
138.142107,623,272.879241
-74.75595,283,273.301794
-90.761715,544,275.410547
199.096281,698,276.48314
-71.969485,446,277.137254
-170.667196,570,278.00816
-79.56032,177,279.686781
-73.564065,411,280.30175
-112.194723,328,280.796824
-152.16851,520,281.57375
194.988601,741,284.114036
-121.077773,480,284.80944
-76.513929,433,285.462692
-64.194288,210,285.753764
-96.594961,422,286.374791
-52.471096,196,286.684567
116.684918,580,289.040919
72.634062,1000,296.547031
99.522453,696,297.583195
-78.422661,599,299.844273
-63.09331,558,300.690598
168.279096,549,301.488465
-56.726548,232,301.838646
195.224551,646,304.141174
176.917718,528,304.924184
114.427483,802,306.104884
194.375868,822,308.638371
-161.201507,419,309.259522
57.67777,1000,310.756873
